algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
A*,1,213,28,69,0.07048869132995605,True
A*,2,1812,113,278,2.0828704833984375,True
A*,3,418,46,157,0.19304442405700684,True
A*,4,1014,6,9,0.7984874248504639,True
A*,5,984,11,22,0.8270766735076904,True
A*,6,1584,92,302,1.5152323246002197,True
A*,7,432,49,161,0.34984731674194336,True
A*,8,471,65,223,0.27820634841918945,True
A*,9,42,12,36,0.02178788185119629,True
A*,10,208,31,90,0.12218189239501953,True
A*,11,73,18,52,0.029150009155273438,True
A*,12,4171,171,584,6.743489980697632,True
A*,13,257,30,79,0.1023261547088623,True
A*,14,547,77,178,0.3823392391204834,True
A*,15,195,31,97,0.0941464900970459,True
A*,16,238,33,116,0.15433764457702637,True
A*,17,2469,13,24,3.1386773586273193,True
A*,18,307,51,188,0.2215728759765625,True
A*,19,360,41,123,0.18378329277038574,True
A*,20,1805,99,249,1.7408418655395508,True
A*,21,481,64,186,0.4033362865447998,True
A*,22,113,25,96,0.04130101203918457,True
A*,23,113,23,96,0.04130101203918457,True
A*,24,1805,99,249,1.7408418655395508,True
A*,25,481,64,186,0.4033362865447998,True
A*,26,471,53,178,0.2509324550628662,True
A*,27,3767,138,331,5.646167755126953,True
A*,28,19,6,18,0.011789321899414062,True
A*,29,1829,114,286,1.9714136123657227,True
A*,30,977,90,222,0.7520954608917236,True
